,joblinks
20,https://de.linkedin.com/jobs/view/businessanalyst-in-m-w-div-at-deutsche-rentenversicherung-bund-3706794548?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=iaMhOsszlgwAU7smLY02kw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,https://de.linkedin.com/jobs/view/it-architekt-business-data-analyst-w-m-d-at-zeb-consulting-3673272304?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=KMeLjLPT82kBLcRedsgVNw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,https://de.linkedin.com/jobs/view/senior-digital-analyst-m-w-d-at-peak-ace-ag-3723935508?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=6EDO6avNMCRRnWm226Id5A%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,https://de.linkedin.com/jobs/view/data-analytics-senior-manager-m-f-x-at-hashtag-you-3712118635?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=MrfBmA91MdjBruDg%2FhQrXQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,https://de.linkedin.com/jobs/view/senior-crm-automation-data-insights-specialist-at-marco-sigismund-3702200405?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=Mwv3XYcYqdi7ZdtQkzzprQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
25,https://de.linkedin.com/jobs/view/marketing-analyst-f-m-d-at-gotphoto-com-fotograf-de-3690425591?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=yY0eNSNQMFotuDxDEmVxAA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
26,https://de.linkedin.com/jobs/view/senior-marketing-analyst-all-genders-at-flaconi-3621220046?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=yxJ5hRqFAR1N1Z2nK0g8AQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
27,https://de.linkedin.com/jobs/view/referent-web-analyst-mit-fokus-marktplatz-up-cross-sell-m-w-d-at-tui-3725826859?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=aX0imIFkCjVos5qZl1Cb2w%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
28,https://de.linkedin.com/jobs/view/senior-crm-data-analyst-d2c-all-genders-marketing-labs-%E2%80%93-universal-music-gmbh-at-universal-music-deutschland-3682697505?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=AHYXDTVgkNxQ3MBUOeeGrA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
29,https://de.linkedin.com/jobs/view/senior-digital-analyst-m-w-d-at-amadeus-fire-3723249140?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=DY7UDetXSLDFfhPqSnpiBA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
30,https://de.linkedin.com/jobs/view/business-analyst-f-m-d-at-vestas-3686359727?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=vWaUY9MDBreU0LgCGwR%2BQg%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
31,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-43-cl-27-2-at-moyyn-3587529775?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=%2Be6EnoWEHB1bDA9qgCfdIA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
32,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-coherent-corp-3708173122?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=ova7IZZVBCn3MH2p7r57Bg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
33,https://de.linkedin.com/jobs/view/business-analyst-berlin-hybrid-at-techbiz-global-3701469835?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=TGu0h%2FudcspteC2agswf8Q%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
